SCHOOL_ID,DATUM,INSTELLINGSNAAM_VESTIGING,POSTCODE_VESTIGING,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,PROVINCIE,SOORT_PO,DENOMINATIE_VESTIGING,BEVOEGD_GEZAG_NUMMER,EXAMEN,EXAMEN_AANTAL,EXAMEN_GEM
019LW_2017,2017,CBS De Violier,8171BA,VAASSEN,232,Epe,Gelderland,Bo,Protestants-Christelijk,41736,CET,30,536.9333333333329
019LY_2017,2017,A M G Schmidtschool,2517JM,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,29,542.6896551724141
119LY_2017,2017,A M G Schmidtschool,2582RA,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,30,540.666666666667
019MA_2017,2017,De Dukdalf,3341GG,HENDRIK-IDO-AMBACHT,531,Hendrik-Ido-Ambacht,Zuid-Holland,Bo,Openbaar,42562,IEP,19,82.6240576509981
019MD_2017,2017,BS De Hobbendonken,5283HD,BOXTEL,757,Boxtel,Noord-Brabant,Bo,Rooms-Katholiek,40706,IEP,26,85.6321856445859
019MF_2017,2017,Troubadour,7534XC,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,ROUTE8,33,216.909090909091
019MG_2017,2017,KBS de Brakken,5121EM,RIJEN,784,Gilze en Rijen,Noord-Brabant,Bo,Rooms-Katholiek,73191,CET,43,532.395348837209
019MH_2017,2017,De Klimop,2562SK,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,29,526.620689655172
019ML_2017,2017,OBS De Delta,3843GC,HARDERWIJK,243,Harderwijk,Gelderland,Bo,Openbaar,41345,IEP,13,75.00474815158451
019MN_2017,2017,De Kubus,7533XK,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CET,10,534.7
019MP_2017,2017,De Kameleon,2516VN,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,18,534.722222222222
019MR_2017,2017,Lorentzschool,1223HN,HILVERSUM,402,Hilversum,Noord-Holland,Bo,Openbaar,41493,ROUTE8,58,210.413793103448
019MU_2017,2017,Max Velthuijs,2513RP,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,14,522.5
019MW_2017,2017,De Gooise Daltonschool,1218GZ,HILVERSUM,402,Hilversum,Noord-Holland,Bo,Openbaar,41493,IEP,30,87.76984661110491
019MY_2017,2017,St Jan-Basisschool,7545GH,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CET,19,536.894736842105
019MZ_2017,2017,OBS Houtwijk,2552KN,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,12,526.0
019NA_2017,2017,Violenschool,1214CJ,HILVERSUM,402,Hilversum,Noord-Holland,Bo,Openbaar,41493,ROUTE8,43,213.511627906977
019NB_2017,2017,Alfonsus-School,7535BZ,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CET,34,538.5
019NE_2017,2017,De Windroos,7544DA,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CET,24,529.916666666667
019NH_2017,2017,Bonifatius,7523HC,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CET,30,538.7
019NM_2017,2017,Paus Joannes,7531XG,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CET,39,535.102564102564
119NM_2017,2017,De Marcellinus,7548CD,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CET,7,543.285714285714
019NN_2017,2017,Houtrustsch,2566JP,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,31,539.935483870968
019NO_2017,2017,Heyenoordsch,6813ES,ARNHEM,202,Arnhem,Gelderland,Bo,Openbaar,41645,CET,35,538.057142857143
019NP_2017,2017,Paulus,7521DX,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CET,28,530.714285714286
019NQ_2017,2017,OBS De Gelderlandschool,2573BA,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,20,520.55
019NR_2017,2017,Pieter Brueghelschool,6813KZ,ARNHEM,202,Arnhem,Gelderland,Bo,Openbaar,41645,CET,60,539.983333333333
019NS_2017,2017,Toermalijn,7523GD,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CESAN,5,170.6
