buurt_number,dogs_amount,aantal_mensen_met_een_uitkering_Participatiewet,percentage_mensen_met_een_uitkering_krachtens_de_Participatiewet,bevolking_totaal,mannen_aantal,vrouwen_aantal,mannen_perc,vrouwen_perc,jeugd_0_17_jarigen,jongeren_18_26_jaar,volwassenen_27_64_jaar,senioren_65_jaar_en_ouder,perc_jeugd_0_17_jaar,perc_jongeren_18_26_jaar,perc_volwassenen_27_64_jaar,perc_senioren_65_jaar_en_ouder,woonruimten,percentage_woonruimten,perc_zelfstandige_woningen_eigenaar-bewoner,perc_zelfstandige_woningen_in_corporatief_bezit,perc_zelfstandige_woningen_overig_incl_onbekend,gemiddeld_huishoudensinkomen,koopkracht_van_huishoudens,percentage_minimahuishoudens,aangiften_diefstal_af_uit_woning,aangiften_diefstal_af_uit_woning_relatief,aangiften_diefstal_auto,aangiften_diefstal_af_uit_bedrijf,aangiften_diefstal_fiets,aangiften_diefstal_af_uit_auto,aangiften_van_mishandeling,aangiften_van_vernieling,aangiften_mishandeling_relatief,buurt_name
0906,135,18,1.0,2668.0,1347.0,1321.0,50.5,49.5,686.0,197.0,1409.0,376.0,25.7,7.4,52.8,14.1,1018.0,99.2,82.4,9.8,7.8,49.9,109.0,3.4,12.0,11.8,0.0,0.0,3.0,1.0,5.0,7.0,1.9,De Held
1000,171,487,11.0,6231.0,3053.0,3178.0,49.0,51.0,922.0,1886.0,2412.0,995.0,14.8,30.3,38.7,16.0,3271.0,87.9,22.9,49.1,28.0,27.2,70.1,26.6,27.0,8.3,2.0,1.0,64.0,6.0,19.0,44.0,3.0,Selwerd
1001,165,445,14.4,4614.0,2238.0,2376.0,48.5,51.5,976.0,850.0,2109.0,665.0,21.2,18.4,45.7,14.4,2390.0,88.6,24.4,58.8,16.8,31.0,76.4,28.5,13.0,5.4,2.0,2.0,41.0,15.0,5.0,40.0,1.1,Paddepoel-Zuid
1002,153,291,7.4,5897.0,2822.0,3075.0,47.9,52.1,622.0,1617.0,2202.0,1446.0,10.5,27.4,37.3,24.5,3201.0,82.2,27.0,52.9,20.1,27.8,73.1,25.0,29.0,9.1,0.0,5.0,31.0,8.0,16.0,31.0,2.7,Paddepoel-Noord
1005,49,122,9.5,1561.0,744.0,817.0,47.7,52.3,192.0,462.0,803.0,103.0,12.3,29.6,51.4,6.6,878.0,89.7,24.8,56.5,18.7,28.4,75.4,24.1,5.0,5.7,0.0,0.0,25.0,2.0,2.0,9.0,1.3,Tuinwijk
1100,397,313,7.1,6134.0,3106.0,3028.0,50.6,49.4,1280.0,711.0,3484.0,659.0,20.9,11.6,56.8,10.7,2975.0,97.2,58.9,23.9,17.3,34.3,83.1,16.2,21.0,7.1,1.0,1.0,10.0,2.0,16.0,36.0,2.6,Beijum-West
1101,456,654,14.2,6351.0,3212.0,3139.0,50.6,49.4,1463.0,826.0,3530.0,524.0,23.0,13.0,55.6,8.3,3098.0,98.3,33.5,60.1,6.4,29.9,72.4,29.1,17.0,5.5,0.0,4.0,11.0,6.0,16.0,49.0,2.5,Beijum-Oost
1102,100,10,0.6,2495.0,1244.0,1251.0,49.9,50.1,486.0,236.0,1467.0,306.0,19.5,9.5,58.8,12.3,1005.0,99.0,91.0,0.1,8.9,49.6,112.3,1.9,15.0,14.9,2.0,2.0,5.0,3.0,2.0,7.0,0.8,De Hunze
1103,27,0,0.0,946.0,497.0,449.0,52.5,47.5,292.0,77.0,541.0,36.0,30.9,8.1,57.2,3.8,295.0,98.7,91.5,0.0,8.5,64.6,131.6,1.6,3.0,10.2,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Van Starkenborgh
1104,20,0,0.0,284.0,150.0,134.0,52.8,47.2,49.0,40.0,154.0,41.0,17.3,14.1,54.2,14.4,122.0,44.9,76.2,0.0,23.8,48.3,108.6,8.5,2.0,16.4,0.0,1.0,1.0,1.0,0.0,3.0,0.0,Noorderhoogebrug
